#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%,HOF
41,Gordon Hayward,713,22239,11170,3853,8508,45.3,983,2660,37,2481,3005,82.6,544,2670,3214,2508,703,292,1406,51.1,56.8,0
42,Kawhi Leonard,576,18025,11085,3986,8080,49.3,865,2251,38.4,2248,2620,85.8,696,2993,3689,1672,1013,367,933,54.7,60,0
43,Danilo Gallinari,685,20604,10775,3267,7650,42.7,1349,3524,38.3,2892,3300,87.6,479,2817,3296,1344,520,256,857,51.5,59.2,0
44,Andrew Wiggins,550,19367,10725,3979,8895,44.7,734,2123,34.6,2033,2782,73.1,683,1751,2434,1274,539,361,1120,48.9,53,0
45,Wesley Matthews,853,26400,10682,3647,8657,42.1,1731,4572,37.9,1657,2012,82.4,426,2078,2504,1751,868,173,1029,52.1,56,0
46,Serge Ibaka,860,24218,10644,4418,8613,51.3,579,1612,35.9,1229,1620,75.9,1829,4424,6253,709,362,1722,1139,54.7,57.1,0
47,CJ McCollum,552,17329,10465,4011,8854,45.3,1263,3179,39.7,1180,1437,82.1,346,1525,1871,1836,482,218,946,52.4,55.2,0
48,Khris Middleton,604,19145,10157,3700,8067,45.9,1096,2787,39.3,1661,1890,87.9,371,2543,2914,2199,739,108,1231,52.7,57.1,0
49,Eric Bledsoe,728,20346,10051,3579,7914,45.2,823,2457,33.5,2070,2633,78.6,561,2296,2857,3410,994,336,1824,50.4,55.4,0
50,Karl-Anthony Towns,433,14856,9953,3702,7040,52.6,692,1741,39.7,1857,2228,83.3,1326,3641,4967,1299,343,608,1151,57.5,62,0
51,Devin Booker,430,14404,9883,3444,7570,45.5,845,2385,35.4,2150,2472,87,219,1407,1626,1993,340,107,1387,51.1,57.1,0
52,Nicolas Batum,871,26968,9795,3486,7979,43.7,1389,3842,36.2,1434,1710,83.9,892,3639,4531,3137,833,549,1514,52.4,56.1,0
53,Harrison Barnes,691,21898,9686,3526,7796,45.2,901,2386,37.8,1733,2159,80.3,710,2821,3531,1239,489,131,853,51,55.4,0
54,Andre Drummond,670,20341,9514,4006,7461,53.7,15,112,13.4,1487,3152,47.2,3103,5979,9082,922,922,1015,1341,53.8,53.8,0
55,Rajon Rondo,932,28081,9198,3838,8403,45.7,425,1321,32.2,1097,1800,60.9,903,3372,4275,7464,1499,122,2541,48.2,50,0
56,George Hill,837,23014,9149,3242,7090,45.7,1013,2646,38.3,1652,2052,80.5,500,2071,2571,2632,756,224,1039,52.9,57.2,0
57,D.J. Augustin,942,22245,9056,2928,7114,41.2,1213,3193,38,1987,2292,86.7,284,1476,1760,3706,555,31,1398,49.7,55.7,0
58,Nikola Jokic,473,14198,8881,3423,6388,53.6,471,1356,34.7,1564,1884,83,1236,3468,4704,2841,542,327,1247,57.3,61.5,0
59,DeAndre Jordan,953,25858,8826,3573,5301,67.4,1,12,8.3,1679,3535,47.5,2952,7050,10002,919,533,1483,1312,67.4,64.4,0
60,Jonas Valanciunas,649,16774,8531,3395,6030,56.3,129,341,37.8,1612,2061,78.2,1823,4239,6062,703,265,668,1020,57.4,61.5,0
61,Zach LaVine,437,13801,8501,3065,6663,46,918,2389,38.4,1453,1759,82.6,208,1496,1704,1667,395,131,1168,52.9,57.2,0
62,Evan Fournier,591,16849,8426,3029,6760,44.8,1116,2939,38,1252,1556,80.5,246,1388,1634,1547,515,83,970,53.1,56.6,0
63,Dennis Schroder,583,15479,8394,3140,7194,43.6,676,2006,33.7,1438,1724,83.4,249,1460,1709,2739,486,75,1403,48.3,52.8,0
64,Reggie Jackson,654,16534,8368,3113,7289,42.7,852,2455,34.7,1290,1512,85.3,345,1598,1943,2767,447,76,1206,48.6,52.6,0
65,Jordan Clarkson,546,14673,8319,3160,7194,43.9,951,2799,34,1048,1268,82.6,451,1325,1776,1381,465,78,901,50.5,53.7,0
66,Enes Freedom,729,15876,8291,3402,6215,54.7,45,157,28.7,1442,1858,77.6,2196,3554,5750,633,294,358,1066,55.1,58.9,0
67,Derrick Favors,770,18862,8263,3378,6325,53.4,38,185,20.5,1469,2216,66.3,1904,3618,5522,834,569,930,992,53.7,56.6,0
68,Julius Randle,472,14519,8252,3060,6359,48.1,373,1095,34.1,1759,2372,74.2,948,3411,4359,1608,331,214,1263,51.1,55.7,0
69,Marcus Morris Sr.,674,18183,8220,3005,6907,43.5,1061,2803,37.9,1149,1505,76.3,625,2471,3096,993,465,190,802,51.2,54.3,0
70,Bojan Bogdanovic,559,16140,8217,2852,6236,45.7,1114,2831,39.4,1399,1618,86.5,283,1702,1985,869,311,42,887,54.7,59.1,0
71,Robin Lopez,912,20098,8007,3346,6238,53.6,51,175,29.1,1264,1695,74.6,2070,2434,4504,751,214,1021,1001,54,57.3,0
72,Victor Oladipo,454,14969,7955,2923,6676,43.8,729,2101,34.7,1380,1745,79.1,270,1824,2094,1796,743,217,1163,49.2,53.4,0
73,Tim Hardaway Jr.,569,15379,7909,2770,6552,42.3,1209,3380,35.8,1160,1428,81.2,193,1396,1589,1057,354,80,604,51.5,55.1,0
74,Taj Gibson,856,21253,7896,3280,6337,51.8,29,136,21.3,1307,1840,71,1973,3331,5304,856,485,901,974,52,55.2,0
75,Markieff Morris,708,17613,7770,2996,6718,44.6,602,1765,34.1,1176,1514,77.7,866,2831,3697,1144,575,369,1078,49.1,52.6,0
76,Ricky Rubio,658,19933,7304,2374,6100,38.9,605,1853,32.6,1951,2315,84.3,416,2312,2728,4992,1181,85,1719,43.9,51.3,0
77,Kentavious Caldwell-Pope,632,18405,7190,2569,6129,41.9,1056,2954,35.7,996,1236,80.6,397,1582,1979,1049,699,136,635,50.5,53.9,0
78,Terrence Ross,632,15802,7151,2609,6238,41.8,1192,3267,36.5,741,889,83.4,220,1580,1800,776,536,213,620,51.4,53.9,0
79,Avery Bradley,622,17292,7026,2820,6496,43.4,808,2218,36.4,578,740,78.1,378,1410,1788,1076,621,124,843,49.6,51.5,0
80,Rudy Gobert,570,16974,6937,2566,3954,64.9,0,8,0,1805,2855,63.2,1859,4660,6519,759,389,1275,935,64.9,66.6,0
81,Patty Mills,765,15418,6921,2477,5767,43,1298,3323,39.1,669,779,85.9,236,1041,1277,1770,497,63,746,54.2,56.6,0
82,Danny Green,776,19845,6917,2447,5789,42.3,1496,3732,40.1,527,654,80.6,478,2225,2703,1229,811,611,791,55.2,56.9,0
83,Jae Crowder,693,17377,6662,2288,5468,41.8,1068,3086,34.6,1018,1311,77.7,486,2424,2910,1093,673,236,607,51.6,55.1,0
84,Buddy Hield,413,11913,6600,2402,5573,43.1,1245,3106,40.1,551,640,86.1,301,1458,1759,1007,328,117,709,54.3,56.4,0
85,Will Barton,575,14623,6579,2440,5629,43.3,730,2059,35.5,969,1236,78.4,426,2006,2432,1526,442,238,815,49.8,53.3,0
86,Udonis Haslem,864,21592,6533,2648,5408,49,5,59,8.5,1232,1631,75.5,1608,4153,5761,730,422,250,804,49,53.3,0
87,Tristan Thompson,691,18922,6359,2558,4934,51.8,9,35,25.7,1234,2029,60.8,2332,3603,5935,701,347,488,796,51.9,54.6,0
88,JaVale McGee,772,13208,6118,2621,4567,57.4,11,59,18.6,865,1448,59.7,1453,2577,4030,331,313,1153,767,57.5,58.8,0
89,Aaron Gordon,478,13717,6114,2306,5087,45.3,525,1631,32.2,977,1400,69.8,763,2253,3016,1180,361,310,697,50.5,53.6,0
90,Hassan Whiteside,469,11834,6078,2536,4362,58.1,8,26,30.8,998,1646,60.6,1492,3687,5179,307,254,1070,726,58.2,59.7,0
91,Wayne Ellington,746,15673,6030,2177,5310,41,1171,3062,38.2,505,598,84.4,231,1361,1592,833,397,63,497,52,54.1,0
92,Alec Burks,570,12719,6000,2037,4839,42.1,558,1483,37.6,1368,1717,79.7,333,1580,1913,1079,384,114,698,47.9,53.6,0
93,Jerami Grant,532,13751,5907,2041,4506,45.3,529,1529,34.6,1296,1808,71.7,484,1630,2114,698,331,593,583,51.2,55.7,0
94,Kelly Olynyk,580,12874,5906,2141,4487,47.7,708,1933,36.6,916,1178,77.8,682,2281,2963,1160,448,272,847,55.6,59,0
95,Steven Adams,614,16465,5811,2412,4099,58.8,1,13,7.7,986,1790,55.1,2138,2632,4770,796,545,587,880,58.9,59.5,0
96,Draymond Green,663,18909,5807,2122,4827,44,562,1781,31.6,1001,1410,71,732,3875,4607,3595,927,685,1450,49.8,53.3,0
97,Robert Covington,492,14824,5790,1945,4806,40.5,1103,3080,35.8,797,982,81.2,445,2408,2853,741,785,461,770,51.9,55.3,0
98,Jeremy Lamb,538,11250,5538,2038,4610,44.2,569,1647,34.5,893,1035,86.3,284,1688,1972,847,396,203,441,50.4,54.7,0
99,James Johnson,702,14428,5506,2174,4580,47.5,360,1182,30.5,798,1168,68.3,564,1963,2527,1483,548,619,993,51.4,54,0
100,Austin Rivers,606,14676,5408,2004,4808,41.7,680,1954,34.8,720,1116,64.5,205,1066,1271,1362,424,104,665,48.8,51,0
101,Kent Bazemore,637,13356,5362,1912,4613,41.4,679,1911,35.5,859,1186,72.4,230,1810,2040,1135,649,305,892,48.8,52.2,0
101,Montrezl Harrell,413,8906,5362,2172,3516,61.8,7,68,10.3,1011,1535,65.9,778,1428,2206,553,238,354,478,61.9,64,0
103,Clint Capela,423,11353,5330,2313,3714,62.3,0,3,0,704,1321,53.3,1492,2987,4479,407,297,658,502,62.3,62,0
104,Myles Turner,416,11938,5298,1995,4076,48.9,381,1066,35.7,927,1209,76.7,591,2192,2783,494,298,940,555,53.6,57.5,0
105,P.J. Tucker,732,21267,5174,1875,4445,42.2,756,2094,36.1,668,891,75,1118,3027,4145,1050,848,232,718,50.7,53.5,0
106,Mason Plumlee,608,13499,5143,2033,3509,57.9,2,39,5.1,1075,1900,56.6,1236,2722,3958,1440,459,560,910,58,59.2,0
107,Ish Smith,672,13475,5141,2189,5091,43,279,864,32.3,484,717,67.5,240,1433,1673,2599,479,167,835,45.7,47.5,0
108,Kelly Oubre Jr.,431,10883,5106,1837,4217,43.6,594,1781,33.4,838,1105,75.8,400,1490,1890,436,402,210,460,50.6,54.3,0
109,Gary Harris,427,12256,5006,1875,4179,44.9,609,1712,35.6,647,805,80.4,264,820,1084,890,502,94,518,52.2,55.2,0
110,Otto Porter Jr.,463,12111,4986,1922,4021,47.8,628,1557,40.3,514,648,79.3,520,1772,2292,697,521,194,370,55.6,57.9,0
111,Joe Ingles,570,14653,4973,1762,3885,45.4,1044,2519,41.4,405,527,76.9,189,1669,1858,2141,534,88,908,58.8,60.4,0
112,Terry Rozier,423,10607,4968,1786,4347,41.1,778,2079,37.4,618,756,81.7,268,1350,1618,1251,372,98,509,50,53.1,0
113,Elfrid Payton,461,12960,4930,2039,4537,44.9,186,646,28.8,666,1058,62.9,508,1435,1943,2791,568,146,1045,47,49.3,0
114,Marcus Smart,475,14081,4864,1616,4293,37.6,712,2242,31.8,920,1185,77.6,407,1289,1696,2040,759,180,831,45.9,50.5,0
115,Cory Joseph,687,15065,4788,1865,4210,44.3,350,1055,33.2,708,911,77.7,347,1407,1754,2032,540,155,714,48.5,51.9,0
116,E'Twaun Moore,598,12564,4743,1927,4236,45.5,556,1432,38.8,333,449,74.2,282,926,1208,1055,395,131,534,52.1,53.5,0
117,Trey Burke,469,10101,4660,1794,4353,41.2,548,1579,34.7,524,647,81,160,694,854,1483,267,52,541,47.5,50.2,0
118,Joe Harris,414,10603,4584,1676,3470,48.3,874,1991,43.9,358,459,78,238,1106,1344,679,204,80,477,60.9,62.4,0
119,Rodney Hood,416,10560,4552,1649,3929,42,628,1720,36.5,626,744,84.1,150,972,1122,712,293,75,417,50,53.5,0
120,Justin Holiday,525,12739,4483,1566,3925,39.9,857,2355,36.4,494,603,81.9,198,1377,1575,770,514,229,459,50.8,53.5,0
121,Doug McDermott,493,10221,4466,1696,3549,47.8,653,1597,40.9,421,512,82.2,214,947,1161,455,103,48,312,57,59.2,0
122,Ben McLemore,503,11387,4424,1573,3781,41.6,733,2018,36.3,545,702,77.6,213,964,1177,512,318,96,559,51.3,54.1,0
123,Gorgui Dieng,574,12073,4370,1657,3316,50,153,430,35.6,903,1142,79.1,1010,2368,3378,765,458,528,646,52.3,57.2,0
124,Bobby Portis,403,8438,4308,1736,3708,46.8,385,1007,38.2,451,597,75.5,731,1806,2537,481,229,144,434,52,54.2,0
125,Ed Davis,700,13632,4278,1769,3122,56.7,0,4,0,740,1265,58.5,1580,3001,4581,533,348,561,530,56.7,58.1,0
126,Patrick Beverley,486,13393,4273,1509,3621,41.7,769,2023,38,486,638,76.2,555,1523,2078,1652,550,235,615,52.3,54.8,0
127,Alex Len,549,10439,4242,1629,3219,50.6,110,328,33.5,874,1277,68.4,1043,2206,3249,462,215,543,652,52.3,56.1,0
128,Garrett Temple,658,14174,4225,1507,3738,40.3,660,1902,34.7,551,740,74.5,277,1276,1553,1143,554,226,619,49.1,52,0
129,Cody Zeller,491,10938,4184,1578,3037,52,32,145,22.1,996,1363,73.1,987,1947,2934,689,319,321,520,52.5,57.5,0
130,Maurice Harkless,591,13487,4109,1628,3438,47.4,356,1121,31.8,497,799,62.2,649,1482,2131,558,562,383,497,52.5,54.2,0
131,Willie Cauley-Stein,420,9271,3675,1552,2853,54.4,6,32,18.8,565,923,61.2,694,1774,2468,597,349,335,384,54.5,56.4,0
132,JaMychal Green,444,9404,3545,1336,2857,46.8,368,993,37.1,505,654,77.2,760,1821,2581,406,250,188,486,53.2,56.4,0
133,Tony Snell,568,12513,3521,1279,2969,43.1,692,1753,39.5,271,321,84.4,158,1138,1296,653,254,132,314,54.7,56.6,0
134,Dwight Powell,454,8425,3356,1238,2175,56.9,115,391,29.4,765,1031,74.2,675,1384,2059,457,299,217,305,59.6,63.8,0
135,T.J. McConnell,478,10619,3271,1461,2898,50.4,110,338,32.5,239,312,76.6,259,1167,1426,2388,609,93,765,52.3,53.9,0
136,Nerlens Noel,437,9800,3268,1349,2457,54.9,2,12,16.7,568,865,65.7,869,1848,2717,478,554,656,572,54.9,57.6,0
137,Nemanja Bjelica,403,8390,3143,1179,2534,46.5,466,1208,38.6,319,419,76.1,447,1409,1856,705,266,167,403,55.7,57.8,0
138,Kyle Anderson,458,9570,3017,1177,2457,47.9,195,577,33.8,468,645,72.6,328,1638,1966,1038,451,265,432,51.9,55,0
139,Dewayne Dedmon,436,7810,2777,1100,2102,52.3,163,482,33.8,414,563,73.5,691,1909,2600,301,234,360,424,56.2,59.1,0
140,Mike Muscala,408,6370,2475,893,1952,45.7,371,997,37.2,318,377,84.4,340,963,1303,366,139,195,252,55.3,58.4,0
141,Solomon Hill,448,9654,2453,843,2175,38.8,362,1093,33.1,405,508,79.7,289,1110,1399,662,307,99,377,47.1,51.1,0
142,Tyus Jones,408,7342,2359,911,2108,43.2,243,705,34.5,294,357,82.4,91,599,690,1476,401,33,300,49,52.1,0
1,Chris Paul,"1,115",38566,20338,7164,15167,47.2,1506,4063,37.1,4504,5166,87.2,699,4322,5021,10530,2381,161,2680,52.2,58.3,0
2,LeBron James,"1,325",50605,35757,13051,25900,50.4,2020,5856,34.5,7635,10406,73.4,1548,8290,9838,9799,2092,994,4646,54.3,58.7,0
3,Andre Iguodala,"1,204",39043,13872,4993,10777,46.3,1068,3218,33.2,2818,3977,70.9,1102,4870,5972,5059,1743,618,2212,51.3,55.4,0
4,Russell Westbrook,970,33719,22384,7971,18211,43.8,1099,3592,30.6,5343,6782,78.8,1615,5555,7170,8292,1656,299,4018,46.8,52.8,0
5,Trevor Ariza,"1,094",32494,11497,4102,9705,42.3,1585,4505,35.2,1708,2332,73.2,1071,4203,5274,2352,1615,349,1462,50.4,53.6,0
6,Thaddeus Young,"1,053",31221,13653,5889,11727,50.2,498,1507,33,1377,2069,66.6,2127,4078,6205,1949,1500,436,1554,52.3,54,0
7,Rajon Rondo,932,28081,9198,3838,8403,45.7,425,1321,32.2,1097,1800,60.9,903,3372,4275,7464,1499,122,2541,48.2,50,0
8,James Harden,903,31140,22587,6667,15040,44.3,2509,6918,36.3,6744,7851,85.9,710,4290,5000,5980,1403,493,3385,52.7,61.1,0
9,Stephen Curry,786,26971,19093,6554,13784,47.5,2964,6860,43.2,3021,3328,90.8,535,3099,3634,5136,1324,175,2467,58.3,62.6,0
10,Paul Millsap,"1,073",30358,14493,5437,11119,48.9,539,1578,34.2,3080,4183,73.6,2327,5309,7636,2370,1322,1039,1820,51.3,55.9,0
11,Kyle Lowry,984,31302,14592,4686,11058,42.4,1876,5124,36.6,3344,4115,81.3,783,3517,4300,6183,1308,289,2326,50.9,56.7,0
12,Mike Conley,909,29207,13554,4813,10919,44.1,1381,3613,38.2,2547,3102,82.1,416,2284,2700,5145,1294,183,1819,50.4,55.2,0
13,Paul George,730,24525,14874,5066,11628,43.6,1825,4789,38.1,2917,3438,84.8,642,4055,4697,2595,1246,320,1964,51.4,56.6,0
14,Carmelo Anthony,"1,218",42471,27736,9923,22205,44.7,1647,4636,35.5,6243,7673,81.4,1944,5687,7631,3378,1196,607,3016,48.4,54.2,0
15,Rudy Gay,"1,020",32917,17017,6444,14188,45.4,1107,3151,35.1,3022,3783,79.9,1368,4568,5936,2179,1191,763,2172,49.3,53.7,0
16,Jrue Holiday,793,26284,12695,5016,10982,45.7,1075,3003,35.8,1588,2045,77.7,705,2453,3158,5045,1187,413,2149,50.6,53.4,0
17,Ricky Rubio,658,19933,7304,2374,6100,38.9,605,1853,32.6,1951,2315,84.3,416,2312,2728,4992,1181,85,1719,43.9,51.3,0
18,Jimmy Butler,651,21540,11414,3712,8075,46,535,1647,32.5,3455,4121,83.8,997,2429,3426,2618,1072,301,1036,49.3,57.7,0
19,Dwight Howard,"1,206",38841,19232,6960,11865,58.7,20,96,20.8,5292,9353,56.6,4070,10331,14401,1652,1065,2207,3278,58.7,60.2,0
20,John Wall,613,21833,11702,4235,9833,43.1,618,1912,32.3,2614,3355,77.9,347,2265,2612,5557,1018,427,2332,46.2,51.7,0
21,Kawhi Leonard,576,18025,11085,3986,8080,49.3,865,2251,38.4,2248,2620,85.8,696,2993,3689,1672,1013,367,933,54.7,60,0
22,Eric Bledsoe,728,20346,10051,3579,7914,45.2,823,2457,33.5,2070,2633,78.6,561,2296,2857,3410,994,336,1824,50.4,55.4,0
23,Kevin Durant,908,33333,24567,8388,16934,49.5,1696,4421,38.4,6095,6908,88.2,642,5779,6421,3811,989,1005,2847,54.5,61.5,0
24,Lou Williams,"1,088",26588,15370,4970,11852,41.9,1433,4083,35.1,3997,4751,84.1,421,2009,2430,3710,936,191,1871,48,55.1,0
25,Draymond Green,663,18909,5807,2122,4827,44,562,1781,31.6,1001,1410,71,732,3875,4607,3595,927,685,1450,49.8,53.3,0
26,Andre Drummond,670,20341,9514,4006,7461,53.7,15,112,13.4,1487,3152,47.2,3103,5979,9082,922,922,1015,1341,53.8,53.8,0
27,Kemba Walker,722,24159,14193,4902,11704,41.9,1628,4507,36.1,2761,3287,84,403,2347,2750,3843,914,278,1546,48.8,54,0
28,DeMar DeRozan,905,30893,18384,6586,14270,46.2,380,1342,28.3,4832,5788,83.5,667,3295,3962,3453,889,265,1854,47.5,54.7,0
29,Wesley Matthews,853,26400,10682,3647,8657,42.1,1731,4572,37.9,1657,2012,82.4,426,2078,2504,1751,868,173,1029,52.1,56,0
30,Goran Dragic,872,24326,12086,4420,9577,46.2,1086,2987,36.4,2160,2815,76.7,616,2068,2684,4177,849,160,1968,51.8,55.9,0
31,P.J. Tucker,732,21267,5174,1875,4445,42.2,756,2094,36.1,668,891,75,1118,3027,4145,1050,848,232,718,50.7,53.5,0
32,DeMarcus Cousins,611,18853,12397,4420,9620,45.9,390,1173,33.2,3167,4298,73.7,1623,4792,6415,1914,843,721,2070,48,53.8,0
33,Nicolas Batum,871,26968,9795,3486,7979,43.7,1389,3842,36.2,1434,1710,83.9,892,3639,4531,3137,833,549,1514,52.4,56.1,0
34,Danny Green,776,19845,6917,2447,5789,42.3,1496,3732,40.1,527,654,80.6,478,2225,2703,1229,811,611,791,55.2,56.9,0
35,Anthony Davis,589,20297,14063,5244,10196,51.4,289,946,30.5,3286,4128,79.6,1486,4536,6022,1367,807,1377,1148,52.8,58.5,0
36,Robert Covington,492,14824,5790,1945,4806,40.5,1103,3080,35.8,797,982,81.2,445,2408,2853,741,785,461,770,51.9,55.3,0
37,Kyrie Irving,582,19713,13293,4895,10418,47,1271,3248,39.1,2232,2534,88.1,459,1753,2212,3337,775,224,1524,53.1,57.6,0
38,Marcus Smart,475,14081,4864,1616,4293,37.6,712,2242,31.8,920,1185,77.6,407,1289,1696,2040,759,180,831,45.9,50.5,0
39,George Hill,837,23014,9149,3242,7090,45.7,1013,2646,38.3,1652,2052,80.5,500,2071,2571,2632,756,224,1039,52.9,57.2,0
40,LaMarcus Aldridge,"1,053",35758,20285,8204,16666,49.2,223,693,32.2,3654,4503,81.1,2736,5879,8615,2056,754,1168,1614,49.9,54.4,0
41,Victor Oladipo,454,14969,7955,2923,6676,43.8,729,2101,34.7,1380,1745,79.1,270,1824,2094,1796,743,217,1163,49.2,53.4,0
42,Khris Middleton,604,19145,10157,3700,8067,45.9,1096,2787,39.3,1661,1890,87.9,371,2543,2914,2199,739,108,1231,52.7,57.1,0
43,Al Horford,904,29270,12571,5262,10199,51.6,549,1527,36,1498,1976,75.8,1862,5563,7425,2993,731,1070,1398,54.3,56.8,0
